"x"
"citation_abstract_html_url"
"citation_author"
"citation_author_institution"
"citation_date"
"citation_doi"
"citation_firstpage"
"citation_fulltext_html_url"
"citation_issn"
"citation_issue"
"citation_journal_abbrev"
"citation_journal_title"
"citation_keywords"
"citation_language"
"citation_lastpage"
"citation_pdf_url"
"citation_title"
"citation_volume"
"creator"
"date"
"DC.Contributor.Sponsor"
"DC.Coverage"
"DC.Creator.PersonalName"
"DC.Date.available"
"DC.Date.created"
"DC.Date.dateSubmitted"
"DC.Date.issued"
"DC.Date.modified"
"DC.Description"
"DC.Format"
"DC.Identifier"
"DC.Identifier.DOI"
"DC.Identifier.pageNumber"
"DC.Identifier.URI"
"DC.Language"
"DC.Rights"
"DC.Source"
"DC.Source.ISSN"
"DC.Source.Issue"
"DC.Source.URI"
"DC.Source.Volume"
"DC.Subject"
"DC.Title"
"DC.Title.Alternative"
"DC.Type"
"DC.Type.articleType"
"description"
"format"
"generator"
"gs_meta_revision"
"identifier"
"keywords"
"language"
"og:description"
"og:image"
"og:site_name"
"og:title"
"og:type"
"og:url"
"publisher"
"relation"
"rights"
"source"
"title"
"twitter:card"
"twitter:creator"
"twitter:description"
"twitter:image"
"twitter:site"
"twitter:title"
"type"
"viewport"
